source_file,source_row,run_id,status,version,attack_name,error
2-firexport_basic_1789247966014.csv,11,0c76d1c52aeb7b8a,failed,legacy,samia,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,13,0e36978c4360d09a,failed,legacy,zlib,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,26,1c9ccb09dccb437a,failed,legacy,samia,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,33,210e349c01deb455,failed,legacy,spv_mia,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,40,2bb94c34133ad347,failed,legacy,samia,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,46,30bf84fb6954b092,failed,legacy,wbc,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,50,3443a4a09725706b876dcb11,failed,legacy,amia,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,52,36b17cb68fed2c3ea5dc3269,failed,legacy,amia,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,58,403d1ab27bcca0536e83d807,failed,legacy,amia,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,68,4f84c14e6b861278,failed,legacy,recall,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,73,5470de6e431f00a5,failed,legacy,spv_mia,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,75,58b69ad5be163eec,failed,legacy,reference,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,78,60f9fb18d7148aa9,failed,legacy,reference,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,98,827e5a340b522b0a,failed,legacy,wbc,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,105,93b054ed26052116,failed,legacy,samia,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,115,9cff12b9c0a477f1,failed,legacy,neighborhood,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,119,9fe7b7bed97af6b1,failed,legacy,spv_mia,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,120,a144f02586c519df,failed,legacy,wbc,[Errno 5] Input/output error
2-firexport_basic_1789247966014.csv,129,ad39b22c5ae5c7b9,failed,legacy,min_k_plus_plus,[Errno 5] Input/output error
